concept,label
aPsychologicalAfflictionOrSpiritualShortcoming,a psychological affliction or spiritual shortcoming
calmRepose,"calm, repose"
containerOfTraditionTheDivine,"container of tradition, the divine"
dominance,dominance
donTTouchMe,don’t touch me
feverRemedy,fever remedy
guangdong,Guangdong
housework,housework
hymenGod,Hymen (god)
insatiableDesire,insatiable desire
naminatha,Naminatha
natureInItsAusterityAndWisdom,nature in its austerity and wisdom
oneSubjectedToBombingInBattle,one subjected to bombing in battle
piAlphaPhi,Pi Alpha Phi
powerToDoAwayWithWorryAndTrouble,power to do away with worry and trouble
removalOfWorriesAndDifficulties,removal of worries and difficulties
sacredPower,sacred power
secretKeeper,secret keeper
sinsSometimesMajorSinsEspeciallyGrowing,"sins, sometimes major sins (especially growing)"
tarvosTrigaranus,Tarvos Trigaranus
theDeathlessDevotionOfAServantToASingleMaster,the deathless devotion of a servant to a single master
thePowerOfRitualDevotionPersonified,the power of ritual devotion (Personified)
thePowerOfTheBritishMonarchy,the power of the British monarchy
thePowersOfInstinctAndProcreation,the powers of instinct and procreation
theStruggleBetweenOneSHigherAndLowerNatures,the struggle between one’s higher and lower natures
usedForRitualPurification,used for ritual purification
wellMeaningFairies,well-meaning fairies
witchSSteed,witch’s steed
alaska,Alaska
alberta,Alberta
anAspectOfTheCosmicRiverFromWhichAllComesAndAllReturns,an aspect of the cosmic river from which all comes and all returns
austriaHungary,Austria-Hungary
brazil,Brazil
burundi,Burundi
cambodia,Cambodia
canada,Canada
coition,coition
colorado,Colorado
containment,containment
cupid,cupid
cupid,Cupid
death,death
death,Death
divineDefense,divine defense
georgiaCountry,Georgia (country)
georgiaUSState,Georgia (U.S. state)
germany,Germany
grief,grief
heart,heart
heart,Heart
housewives,housewives
ireland,Ireland
italy,Italy
kama,Kama
kyiv,Kyiv
louisiana,Louisiana
maine,Maine
malta,Malta
marsPlanet,Mars (planet)
massachusetts,Massachusetts
mississippi,Mississippi
modesty,modesty
nagaland,Nagaland
newJersey,New Jersey
newYorkCity,New York City
novaScotia,Nova Scotia
parasite,parasite
persistence,persistence
pertinacity,pertinacity
poland,Poland
rejection,rejection
rhodeIsland,Rhode Island
rudeness,rudeness
serbia,Serbia
servility,servility
sikkim,Sikkim
solitude,solitude
solitude,Solitude
southAfrica,South Africa
southCarolina,South Carolina
texas,Texas
theFemininePrinciple,the feminine principle
theMaternalBody,the maternal body
theUnconscious,the unconscious
theUnitedKingdom,the United Kingdom
tranquility,tranquility
treasure,treasure
ukraine,Ukraine
utah,Utah
wisdom,wisdom
wisdom,Wisdom
adulation,adulation
bran,Bran
cannibals,cannibals
acknowledgment,acknowledgment
containerForTortureAndCapitalPunishment,container for torture and capital punishment
entranceToTheOtherWorld,entrance to the other-world
fausta,Fausta
gateToTheUnderworld,gate to the Underworld
homeOfAgastya,home of Agastya
homeOfGnomesRobbersMonsters,"home of gnomes, robbers, monsters"
kappaPsiKappa,Kappa Psi Kappa
keridwen,Keridwen
magicVesselOfRejuvenation,magic vessel of rejuvenation
meetingPlaceOfTheDivineAndHuman,meeting place of the divine and human
moralVirtue,moral virtue
nalakuvara,Nalakuvara
partialSpiritualInsightOrDevelopment,partial spiritual insight or development
passagewayBetweenEarthAndHeaven,passageway between Earth and heaven
paternalError,paternal error
placeOfEarthlyEnergy,place of earthly energy
placeOfUnionOfSelfAndEgo,place of union of Self and Ego
placeOfWorshipOfMithras,place of worship of Mithras
primitivePartOfTheSelf,primitive part of the self
realmOfRebirth,realm of rebirth
receptacleForOfferings,receptacle for offerings
reproductiveEarthPowers,reproductive earth powers
restoresWarriorsToLife,restores warriors to life
resuscitation,resuscitation
sixthWeddingAnniversaries,sixth wedding anniversaries
sustenance,sustenance
theCornucopia,the cornucopia
theDesireToConcentrateAllThePossibilitiesOfExistenceInAGivenPeriodOfTime,the desire to concentrate all the possibilities of existence in a given period of time
theDesperateQuestForAWayOutOfTime,the desperate quest for a way out of time
theGrail,the Grail
unheededProphet,unheeded prophet
vitus,Vitus
abundance,abundance
abundance,Abundance
anput,Anput
arizona,Arizona
barbados,Barbados
benevolence,benevolence
california,California
chile,Chile
colombia,Colombia
dagda,Dagda
distinction,distinction
ecuador,Ecuador
equatorialGuinea,Equatorial Guinea
idleChatter,idle chatter
indifference,indifference
inexhaustibleSustenance,inexhaustible sustenance
inspiration,inspiration
invocationOfPrimordialChaos,invocation of primordial chaos
magnificentBeauty,magnificent beauty
mother,mother
nauru,Nauru
nunavut,Nunavut
paxGoddess,Pax (goddess)
perseverance,perseverance
rebirth,rebirth
resurrection,resurrection
spain,Spain
spiritualDecay,spiritual decay
ssBoniface,SS Boniface
stErasmus,St. Erasmus
thailand,Thailand
theCircus,the circus
theLimitationOfIdeas,the limitation of ideas
theUnderworld,the underworld
theUnderworld,the Underworld
virginia,Virginia
theSun,the Sun
thunder,thunder
traitor,traitor
transcendence,transcendence
westBengal,West Bengal
victory,victory
victory,Victory
witchcraft,witchcraft
wyoming,Wyoming
insight,insight
volubility,volubility
tlaloc,Tlaloc
treachery,treachery
truth,truth
truth,Truth
vagina,vagina
war,war
warrior,warrior
westVirginia,West Virginia
zeusJupiter,Zeus/Jupiter
bulk,bulk
extent,extent
externalReligion,external religion
fire,fire
hiddenInfluences,hidden influences
intercessorBetweenManAndTheUniverse,intercessor between man and the universe
liTIehKuai,Li T’ieh-kuai
magicalPower,magical power
necromancy,necromancy
newEra,new era
proof,proof
psychicDissociation,psychic dissociation
removedDuringTheEmbalmingRitualAndPutInAJar,removed during the embalming ritual and put in a jar
seatOfTheEmotions,seat of the emotions
stateOfMind,state of mind
theCosmosInMiniature,the cosmos in miniature
theCreativePowerOfNature,the creative power of nature
theLowerQualities,the lower qualities
theManOfKnowledge,the man of knowledge
theMysticKnot,the mystic knot
theOriginalUnityOfThePrimordialParents,the original unity of the primordial parents
thePossibilityOfChangePersonalHealing,"the possibility of change, personal healing"
theSearchForTruth,the search for truth
traditionalTeachingSuitableForTheMasses,traditional teaching suitable for the masses
unrealizedPotential,unrealized potential
unresolvedPastIssues,unresolved past issues
adaptability,adaptability
advice,advice
affection,affection
affection,Affection
blessing,blessing
contemplation,contemplation
cosmicEgg,Cosmic Egg
creativity,creativity
da,Da
duality,duality
energy,energy
faith,faith
godSProvidence,God’s providence
hope,hope
hope,Hope
ideas,ideas
immortality,immortality
information,information
innocence,innocence
innocence,Innocence
intellect,intellect
introspection,introspection
intuition,intuition
jonah,Jonah
knowledge,knowledge
lackOfSubstance,lack of substance
lifeForce,life force
lifeForce,life-force
love,love
luxury,luxury
mystery,mystery
newBeginning,new beginning
nourishment,nourishment
philosophy,philosophy
philosophy,Philosophy
pilgrimage,pilgrimage
plenty,plenty
pride,pride
pride,Pride
rain,rain
religion,religion
religion,Religion
sanctuary,sanctuary
selfControl,self-control
stability,stability
stJamesTheGreat,St. James the Great
sunRays,sun rays
theArchangelSamael,the archangel Samael
theChurch,the Church
theExternalSoul,the external soul
theFemaleBreast,the female breast
theLaw,the law
theLaw,the Law
theMother,the mother
theMother,the Mother
theNewYear,the new year
adversaryOfTheSoul,adversary of the soul
annunciation,Annunciation
barnetCopthall,Barnet Copthall
channelOfTruthFromAHigherToALowerNature,channel of truth from a higher to a lower nature
charity,charity
charity,Charity
charity,Charity)
angola,Angola
atabeyGoddess,Atabey (goddess)
destructionOfTheSoul,destruction of the soul
erisMythology,Eris (mythology)
judgmentOfTheDead,judgment of the dead
logicPersonified,Logic personified
loveReturned,love returned
mayAlsoStandForAveMariaLatinForHailMary,"may also stand for ave Maria, Latin for “hail Mary”"
omegaDeltaSigma,Omega Delta Sigma
partOfTheProcessOfSpiritualAwakening,part of the process of spiritual awakening
retribution,retribution
standsForAuspiceMariaLatinForUnderTheProtectionOfMary,"stands for auspice Maria, Latin for “under the protection of Mary”"
standsForAveMariaGratiaPlenaDominusTecumTheFirstWordsOfTheHailMaryPrayerInLatin,"stands for Ave Maria, gratia plena, Dominus tecum, the first words of the Hail Mary prayer in Latin"
theConflictOfGoodAndEvilWithinTheSelf,the conflict of good and evil within the self
arkansas,Arkansas
armenia,Armenia
athena,Athena
bulgaria,Bulgaria
communism,communism
connecticut,Connecticut
dignity,dignity
england,England
friendship,friendship
israel,Israel
kazakhstan,Kazakhstan
korea,Korea
kyrgyzstan,Kyrgyzstan
mexico,Mexico
moldova,Moldova
muSigmaUpsilon,Mu Sigma Upsilon
nato,NATO
newZealand,New Zealand
nigeria,Nigeria
persuasion,persuasion
portugal,Portugal
renunciation,renunciation
royalty,royalty
tajikistan,Tajikistan
theAnnunciation,the Annunciation
theBahamas,the Bahamas
theRepublicOfIreland,the Republic of Ireland
theWordOfGod,the word of God
theWordOfGod,the Word of God
tripura,Tripura
turanMythology,Turan (mythology)
turkmenistan,Turkmenistan
uranusPlanet,Uranus (planet)
uttarakhand,Uttarakhand
uzbekistan,Uzbekistan
venezuela,Venezuela
aBalanceBetweenInitiativeAndResistance,a balance between initiative and resistance
believedToHaveMagicalPowers,believed to have magical powers
bondageToConvention,bondage to convention
breathOfTheHolySpirit,breath of the Holy Spirit
cameroon,Cameroon
mentalCoveringOftenRevealingTheWearerSPrinciplesOfActionOpinionsPrejudicesAssociationsMentalState,"mental covering, often revealing the wearer’s principles of action, opinions, prejudices, associations, mental state"
oneSTrueNatureOrInnerSelf,one’s true nature or inner self
stAngelaMerici,St. Angela Merici
theOuterBoundsOfTheWearerSPersonality,the outer bounds of the wearer’s personality
villainy,villainy
andorra,Andorra
anguilla,Anguilla
antiguaAndBarbuda,Antigua and Barbuda
austria,Austria
belgium,Belgium
belize,Belize
benin,Benin
bolivia,Bolivia
bosniaAndHerzegovina,Bosnia and Herzegovina
botswana,Botswana
britishColumbia,British Columbia
burkinaFaso,Burkina Faso
chad,Chad
concealment,concealment
costaRica,Costa Rica
crimea,Crimea
croatia,Croatia
cuba,Cuba
cyprus,Cyprus
denmark,Denmark
disguise,disguise
dissimulation,dissimulation
dominica,Dominica
eastTimor,East Timor
egypt,Egypt
elSalvador,El Salvador
eos,Eos
eswatini,Eswatini
fiji,Fiji
frenchPolynesia,French Polynesia
gabon,Gabon
ghana,Ghana
greece,Greece
greenland,Greenland
grenada,Grenada
groningenProvince,Groningen (province)
guatemala,Guatemala
guernsey,Guernsey
guinea,Guinea
guyana,Guyana
haiti,Haiti
honduras,Honduras
hungary,Hungary
iceland,Iceland
infamy,infamy
invisibility,invisibility
ivoryCoast,Ivory Coast
jordan,Jordan
kenya,Kenya
kiribati,Kiribati
laGuajiraDepartment,La Guajira Department
latvia,Latvia
lebanon,Lebanon
lesotho,Lesotho
obscurity,obscurity
righteousness,righteousness
shelter,shelter
sleep,sleep
sleep,Sleep
aBuddhistMonk,a Buddhist monk
ageAtWhichACraneBecomesAllBlack,age at which a crane becomes all black
aloofnessFromLife,aloofness from life
anUnknownLatentPotentialActivelyWorkingToAppear,an unknown latent potential actively working to appear
booksInTheMishna,books in the Mishna
chaptersOfTheKoran,chapters of the Koran
begging,begging
brunei,Brunei
deltaTauLambda,Delta Tau Lambda
highTreasonAndTheRejectionOfGod,high treason and the rejection of God
homosexuals,homosexuals
inMohammedSVisionHeSawAnAngelWith70000HeadsEachOfWhichHad70000Mouths,"in Mohammed’s vision, he saw an angel with 70,000 heads each of which had 70,000 mouths"
lettersInTheLatinAlphabet,letters in the Latin alphabet
manSRedemptionByChrist,man’s redemption by Christ
mentalOrSpiritualDisorder,mental or spiritual disorder
numberOfAtomsComposingTheEarth,number of atoms composing the earth
numberOfGatesOrDoorsInValhalla,number of gates or doors in Valhalla
omicronDeltaKappa,Omicron Delta Kappa
petalsOfTheAjnaChakraBetweenTheEyebrows,petals of the Ajna Chakra (between the eyebrows)
psiSigmaPhi,Psi Sigma Phi
riverOfHeaven,River of Heaven
satanicInfluenceInManWhereIsManifestedAsDeceitfulAndDeformedDivineTruths,satanic influence in man where is manifested as deceitful and deformed divine truths
selfRealizationThroughAJourney,self-realization through a journey
solarYearsInADayOfBrahma,solar years in a day of Brahma
solarYearsInAGreatKalpa,solar years in a great kalpa
solarYearsInAManvantara,solar years in a manvantara
solarYearsInAMediumKalpa,solar years in a medium kalpa
solarYearsInAMonthOfBrahma,solar years in a month of Brahma
solarYearsInARegularKalpa,solar years in a regular kalpa
solarYearsInASatayuga,solar years in a satayuga
solarYearsInASmallKalpa,solar years in a small kalpa
surrenderOfTheEgo,surrender of the ego
the25PreceptsOfMahavira,the 25 precepts of Mahavira
theAbsenceOfLight,the absence of light
theCompletionOfCreation,the completion of Creation
theGhostOfAManKilledWhileHunting,the ghost of a man killed while hunting
theImmolationOfChristOnTheCross,the immolation of Christ on the Cross
theMercyOfGod,the mercy of God
thesesOfMartinLuther,theses of Martin Luther
theSicknessesLaunchedByAhriman,the sicknesses launched by Ahriman
theWivesOfSolomon,the wives of Solomon
thoseWhoHaveFreedThemselvesFromTheirKarmicBonds,those who have freed themselves from their karmic bonds
timesTheArchangelMichaelWillStrikeSatanWithHisSwordOnTheDayOfJudgment,times the archangel Michael will strike Satan with his sword on the Day of Judgment
virtueGrowingOutOfButUntaintedBySin,"virtue growing out of, but untainted by, sin"
abkhazia,Abkhazia
achievement,achievement
adelanteFraternity,Adelante Fraternity
afghanistan,Afghanistan
capricorn,Capricorn
christ,Christ
fickleness,fickleness
hawaii,Hawaii
liberia,Liberia
libya,Libya
longevity,longevity
maleMasturbationAndItsObjectifiedEmotionalConsequences,male masturbation and its objectified emotional consequences
mohammedDiedAtAge61Or62,Mohammed died at age 61 or 62
northKorea,North Korea
oregon,Oregon
Oro,‘Oro
phiChi,Phi Chi
sigmaMuSigma,Sigma Mu Sigma
southKorea,South Korea
stupidity,stupidity
stupidity,Stupidity
temperance,temperance
temperance,Temperance
theHolySpirit,the Holy Spirit
theImmaculateConception,the Immaculate Conception
theTrinity,the Trinity
theWay,The Way
withdrawalFromTheMaterialWorld,withdrawal from the material world
yahweh,Yahweh
uprightness,uprightness
absorptionIntoTheDivine,absorption into the divine
artfulness,artfulness
commandOverLifeAndDeath,command over life and death
demeterCeres,Demeter/Ceres
aDominion,a Dominion
bringingOneSAnimalInstinctsUnderControl,bringing one’s animal instincts under control
communitySpirit,community spirit
erisDiscordia,Eris/Discordia
fruitOfTheUnderworld,fruit of the Underworld
greatLabor,great labor
guardianOfTheWay,guardian of the way
indulgenceInEarthlyDesires,indulgence in earthly desires
keyOfKnowledge,key of knowledge
magicAndInfernalPowers,magic and infernal powers
martinLuther,Martin Luther
mayBeAWitchInAnimalForm,may be a witch in animal form
occultPower,occult power
onActiveService,on active service
onHeavenlyServiceOnly,on heavenly service only
providenceInOneSAffairs,providence in one’s affairs
residenceOfDemons,residence of demons
sexualEnjoyment,sexual enjoyment
subordination,subordination
theColorFadesWhenALoverIsUnfaithful,the color fades when a lover is unfaithful
theEmperorSDispleasure,the emperor’s displeasure
theEmperorSPleasure,the emperor’s pleasure
theFragilityAndImpotenceOfExistence,the fragility and impotence of existence
theFragilityOfLife,the fragility of life
theHopeForSweetnessAndJoyInTheFuture,the hope for sweetness and joy in the future
theUnionOfIsisAndOsiris,the union of Isis and Osiris
aCherub,a cherub
aCherub,a Cherub
anAphrodisiac,an aphrodisiac
aphroditeVenus,Aphrodite/Venus
aphroditeVenus,Aphrodite/Venus)
aSeraph,a seraph
aSeraph,a Seraph
autumn,Autumn
aVirtue,a Virtue
beginning,beginning
charm,charm
cleverness,cleverness
completeness,completeness
concord,concord
concord,Concord
conscience,conscience
covenant,covenant
covenant,Covenant
deceit,deceit
deceit,Deceit
discord,discord
divination,divination
earthlyDesires,earthly desires
earthlyKingdom,earthly kingdom
eternalLife,eternal life
eve,Eve
felicity,felicity
foresight,foresight
freyja,Freyja
fullnessOfLife,fullness of life
gabriel,Gabriel
guardianship,guardianship
health,health
health,Health
hiddenWisdom,hidden wisdom
humility,humility
humility,Humility
idunn,Idunn
industry,industry
invitation,invitation
joy,joy
kannakiAmman,Kannaki Amman
life,life
lossOfIdentity,loss of identity
maat,Maat
marriage,marriage
money,money
neith,Neith
order,order
patriotism,patriotism
pattini,Pattini
power,power
power,Power
reconciliationOfOpposites,reconciliation of opposites
ruralFestivities,rural festivities
theApocalypse,the Apocalypse
theFallOfMan,the Fall of man
theFallOfMan,the Fall of Man
theHeart,the heart
theUnionOfHeavenAndEarth,the union of heaven and earth
theVoiceOfGod,the voice of God
transitoriness,transitoriness
transitoriness,Transitoriness
treeOfLife,Tree of Life
unionOfTheSexes,union of the sexes
unlucky,unlucky
virtue,virtue
virtue,Virtue
anAuspiciousSignOnTheFootprintOfBuddha,an auspicious sign on the footprint of Buddha
aPlaceForTheInterminglingOfForces,a place for the intermingling of forces
attributeThePersonificationsOfFortitudeConstancy,"attribute the personifications of Fortitude, Constancy"
bumpkin,bumpkin
boundaryMarker,boundary marker
conciliationHumility,conciliation humility
generallyUnfavorable,generally unfavorable
havenForGrowthOfTheSpirit,haven for growth of the spirit
heavenlyCreativeFire,heavenly creative fire
heavenlyVestments,heavenly vestments
idleFillingOfTime,idle filling of time
inexhaustiblePlenty,inexhaustible plenty
innerValues,inner values
looseOrFlashyWoman,loose or flashy woman
pipeOfPeace,Pipe of Peace
placeOfSpiritualSeekingAndDevelopment,place of spiritual seeking and development
rainCharm,rain charm
ridiculeOfPoeticBlissWishfulThinkingMonasticLife,"ridicule of poetic bliss, wishful thinking, monastic life"
senselessChatter,senseless chatter
simonStylites,Simon Stylites
sourceOfPlenty,source of plenty
spiritualHaven,spiritual haven
spiritualLifeDescendedToEarth,spiritual life descended to earth
spiritualTriumph,spiritual triumph
ssSebastian,SS Sebastian
status,status
stillMovement,still movement
stormSpirits,storm spirits
supportOfHeaven,support of heaven
theNobility,the nobility
thePillarsOfHeaven,the pillars of heaven
theReceiverAndNourisherOfThatWhichIsToBeTransformed,the receiver and nourisher of that which is to be transformed
theUpwardImpulse,the upward impulse
triumphOverBirthAndDeath,triumph over birth and death
unionWithTheFireOfTheGreatSpirit,union with the fire of the Great Spirit
wombOfTheGreatMother,womb of the Great Mother
womenGivenToDebaucheryAndSin,women given to debauchery and sin
abraham,Abraham
air,air
asceticism,asceticism
burial,burial
comfort,comfort
compassion,compassion
constancy,constancy
darkness,darkness
demonicPossession,demonic possession
fortitude,fortitude
fortitude,Fortitude
heaven,heaven
home,home
involutiveFragmentationOfTheUnconscious,involutive fragmentation of the unconscious
mischief,mischief
mysticCenter,mystic center
nguyenDynasty,Nguyen dynasty
paradise,paradise
paradise,Paradise
phallus,phallus
preservation,preservation
purification,purification
reconciliation,reconciliation
revelation,revelation
seed,seed
silence,silence
simpleton,simpleton
spiritualMessenger,spiritual messenger
steadfastness,steadfastness
stPetronius,St. Petronius
theConnectionBetweenHeavenAndEarth,the connection between heaven and earth
theGrave,the grave
theMasculinePrinciple,the masculine principle
thePassion,the passion
thePassion,the Passion
theTao,the Tao
theWay,the way
theVirginMary,the Virgin Mary
wisconsin,Wisconsin
womb,womb
yCahu,Yúcahu
aFavoriteInstrumentOfTheDevil,a favorite instrument of the devil
anEvilWomanWhoCanCorruptTheInnocent,an evil woman who can corrupt the innocent
anInsidiousTreacherousPersonBentOnMischief,an insidious treacherous person bent on mischief
basel,Basel
canOnlyBeKilledWithAMirrorThatWillReflectTheDeadlyGlanceBackUponTheCreature,can only be killed with a mirror that will reflect the deadly glance back upon the creature
mesmerism,mesmerism
phiDeltaPsi,Phi Delta Psi
possessedTheLookAndBreathOfDeath,possessed the look and breath of death
poverty,poverty
royalDescent,royal descent
sadisticAndDestructiveInstincts,sadistic and destructive instincts
sovereignPowerThatDestroysWhenDisrespected,sovereign power that destroys when disrespected
terrorToAllBeholders,terror to all beholders
theDestructiveFireThatPrecedesTransmutation,the destructive fire that precedes transmutation
theKingOfSerpents,the king of serpents
theMeldingOfManSHigherAndLowerNatures,the melding of man’s higher and lower natures
theMortalDangersOfLife,the mortal dangers of life
theUnconsciousWhichIsDangerousIfNotFaced,the unconscious which is dangerous if not faced
theYoungestSonInAFamily,the youngest son in a family
tryingToSolveAProblemWithoutSufficientKnowledge,trying to solve a problem without sufficient knowledge
vulcanMythology,Vulcan (mythology)
yerTanr,Yer Tanrı
assam,Assam
azerbaijan,Azerbaijan
bahrain,Bahrain
bangladesh,Bangladesh
belarus,Belarus
bhutan,Bhutan
bihar,Bihar
cruelty,cruelty
deadliness,deadliness
estonia,Estonia
evil,evil
finland,Finland
france,France
freedom,freedom
gibraltar,Gibraltar
haryana,Haryana
hongKong,Hong Kong
iDeclareAgainstYou,I declare against you
ingenuousSimplicity,ingenuous simplicity
jamaica,Jamaica
knightlyService,knightly service
montana,Montana
nangKwak,Nang Kwak
nebraska,Nebraska
newBrunswick,New Brunswick
ohio,Ohio
oneOfTheFourAspectsOfTheDevil,one of the four aspects of the devil
palau,Palau
priapus,Priapus
protection,protection
quebec,Quebec
selene,Selene
sloth,sloth
sloth,Sloth
southDakota,South Dakota
sweden,Sweden
switzerland,Switzerland
theAntichrist,the Antichrist
theDevil,the devil
theDevil,the Devil
theEuropeanUnion,the European Union
theUnitedStates,the United States
theSeasons,the seasons
theUnionOfTheMasculineAndFemininePrinciples,the union of the masculine and feminine principles
timidity,timidity
universalLife,universal life
virility,virility
erato,Erato
superiority,superiority
delicacy,delicacy
endurance,endurance
eostre,Eostre
evaporation,evaporation
fearlessness,fearlessness
feminineBeauty,feminine beauty
fruitfulness,fruitfulness
haste,haste
illOmen,ill omen
indiscretion,indiscretion
integration,integration
languishing,languishing
march,March
maryMagdalene,Mary Magdalene
newLife,new life
panFaunus,Pan/Faunus
passion,passion
prophecy,prophecy
purity,purity
revival,revival
ritualAscent,ritual ascent
rubies,rubies
solidity,solidity
sourceOfTheFirstMan,source of the first man
sourceOfTheFirstWoman,source of the first woman
spring,spring
spring,Spring
springFestivals,Spring festivals
sweetness,sweetness
thanksgiving,thanksgiving
thanksgiving,Thanksgiving
theArchangelCassiel,the archangel Cassiel
aChildSCradleToMakeItSleep,a child’s cradle to make it sleep
syrianOpposition,Syrian opposition
liechtenstein,Liechtenstein
lithuania,Lithuania
luxembourg,Luxembourg
malawi,Malawi
malaysia,Malaysia
mali,Mali
manitoba,Manitoba
mauritius,Mauritius
monaco,Monaco
montenegro,Montenegro
morocco,Morocco
namibia,Namibia
newYorkState,New York (state)
nicaragua,Nicaragua
niger,Niger
northDakota,North Dakota
northernIreland,Northern Ireland
norway,Norway
ontario,Ontario
panama,Panama
paraguay,Paraguay
pennsylvania,Pennsylvania
princeEdwardIsland,Prince Edward Island
puertoRico,Puerto Rico
romania,Romania
saintKittsAndNevis,Saint Kitts and Nevis
saintLucia,Saint Lucia
saintVincentAndTheGrenadines,Saint Vincent and the Grenadines
samoa,Samoa
sanMarino,San Marino
saskatchewan,Saskatchewan
senegal,Senegal
seychelles,Seychelles
sierraLeone,Sierra Leone
singapore,Singapore
slovakia,Slovakia
slovenia,Slovenia
somalia,Somalia
southSudan,South Sudan
suriname,Suriname
syria,Syria
tanzania,Tanzania
theArctic,the Arctic
theCentralAfricanRepublic,the Central African Republic
theCollectivityOfSaintMartin,the Collectivity of Saint Martin
theCookIslands,the Cook Islands
theCzechRepublic,the Czech Republic
theDominicanRepublic,the Dominican Republic
theFaroeIslands,the Faroe Islands
theGambia,the Gambia
theNetherlands,the Netherlands
theNorthwestTerritories,the Northwest Territories
thePalestinianNationalAuthority,the Palestinian National Authority
theRepublicOfTheCongo,the Republic of the Congo
theSolomonIslands,the Solomon Islands
tonga,Tonga
trinidadAndTobago,Trinidad and Tobago
tunisia,Tunisia
turkey,Turkey
tuvalu,Tuvalu
uganda,Uganda
uruguay,Uruguay
vanuatu,Vanuatu
yugoslavia,Yugoslavia
ardor,ardor
intelligence,intelligence
lamentation,lamentation
aCosmicOrPsychologicalSituationAtADeeperLevelThanLandMonsters,a cosmic or psychological situation at a deeper level than land monsters
alphaPsiLambda,Alpha Psi Lambda
anyWarriorSaint,any warrior saint
aSecretPlace,a secret place
birdFlightToHeaven,bird flight to heaven
aSpiritualWeapon,a spiritual weapon
bishamon,Bishamon
camael,Camael
destroyerOfEvilAndIgnorance,destroyer of evil and ignorance
diseaseEspeciallyThePlague,"disease, especially the plague"
entranceToKnowledgeOrTheWayToKnowledge,"entrance to knowledge, or the way to knowledge"
fourArchangelsInhabitTheHeavensBeneathTheThroneOfAllah,four archangels inhabit the heavens beneath the throne of Allah
individualPreservationAndResurrection,individual preservation and resurrection
inviting,inviting
jupiterGod,Jupiter (god)
loveAtFirstSight,love at first sight
maryAsTheNewEve,Mary as the new Eve
microcosmOfTheWorld,microcosm of the world
movingLife,moving life
omenOfWealthAndFameForAnyoneBornUnderIt,omen of wealth and fame for anyone born under it
orHandRestingOnASword,or hand resting on a sword)
owein,Owein
piBetaPhi,Pi Beta Phi
placeOfTransmutation,place of transmutation
primordialDivinePowerOnTheHighestLevel,primordial divine power on the highest level
selfFruitfulness,self-fruitfulness
soldierOfTheLowerClasses,soldier of the lower classes
stDemetriusUsuallyWithAShieldAndLance,St. Demetrius (usually with a shield and lance
