,symbol,label,translation
214,BelarusianReferendum,1995 Belarusian referendum,Wit-Russisch referendum 1995
215,belauRekid,Belau rekid,Belau reki
216,belphegor,Belphegor,Belphegor
217,belvedere,belvedere,belvedere
218,bend,bend,kromming
219,benderaPusaka,Bendera Pusaka,Bendera Pusaka
220,bendSinister,bend sinister,bocht sinister
221,benitoite,Benitoite,Benitoïet
222,benjamin,Benjamin,Benjamin
223,bertieBeaver,Bertie Beaver,Bertie Bever
224,betulaAlleghaniensis,Betula alleghaniensis,Betula alleghaniensis
225,betulaPendula,Betula pendula,Betula pendula
226,bevareGudVRKung,Bevare Gud vår kung,Bevare Gud door kungo
227,bezoar,bezoar,bezoar
228,bharatMata,Bharat Mata,Bharat Mata
229,bharotoBhagyoBidhata,Bharoto Bhagyo Bidhata,Bharoto Bhagyo Bidhata
230,bhinnekaTunggalIka,Bhinneka Tunggal Ika,Bhinneka Tunggal Ika
231,bhutanTakin,Bhutan takin,Bhutan takin
232,bident,Bident,Bident
233,bigApple,Big Apple,Grote appel
234,bihu,Bihu,Bihu
235,bilberry,bilberry,bosbes
236,billowingCloak,billowing cloak,golvende mantel
237,billyYank,Billy Yank,Billy Yank
238,birdOfParadisePlant,bird of paradise (plant),paradijsvogel (plant)
239,bismarckMonument,Bismarck monument,Bismarck-monument
240,bitterroot,Bitterroot,Bitterwortel
241,bittersweetPlant,bittersweet (plant),bitterzoet (plant)
242,bituminousCoal,Bituminous coal,Bitumineuze kolen
243,blackbuck,Blackbuck,zwarte bok
244,blackCappedChickadee,Black-capped chickadee,Zwartkapmees
245,blackFrancolin,Black francolin,Zwarte frankolijn
246,blackHillsGoldJewelry,Black Hills gold jewelry,Black Hills gouden sieraden
247,blackMadonnaOfCzStochowa,Black Madonna of Częstochowa,Zwarte Madonna van Częstochowa
248,blackRibbonDay,Black Ribbon Day,Black Ribbon-dag
249,blacksmithSHammer,Blacksmith's hammer,Smidshamer
250,blaeberry,blaeberry,bosbes
251,blazingTorch,Blazing Torch,brandende fakkel
252,bleuDeFranceColour,Bleu de France (colour),Bleu de France (kleur)
253,blighiaSapida,Blighia sapida,Blighia sapida
254,blindmanSBluff,blindman’s bluff,Blindemans bluf
255,cauldron,cauldron,ketel
256,cave,cave,grot
257,cecilSoil,Cecil (soil),Cecil (bodem)
258,cedrelaTree,cedrela tree,cedrela boom
259,cedrusDeodara,Cedrus deodara,Cedrus deodara
260,cedrusLibani,Cedrus libani,Cedrus libani
261,celandine,celandine,stinkende gouwe
262,cellar,cellar,kelder
263,celticHarp,Celtic harp,Keltische harp
264,cereal,cereal,graan
265,ceroxylonQuindiuense,Ceroxylon quindiuense,Ceroxylon quindiuense
266,chakett,Chakett,Chakett
267,chalk,chalk,krijt
268,chamomile,chamomile,kamille
269,chancel,chancel,koor
270,charlesIves,Charles Ives,Charles Ives
271,charlotteWhale,Charlotte whale,Charlotte walvis
272,charoset,charoset,charoset
273,charro,Charro,Charro
274,charterOak,Charter Oak,Charter Oak
275,checkersGame,checkers (game),dammen (spel)
276,cheesehead,Cheesehead,Kaaskop
277,cheirolophusCrassifolius,Cheirolophus crassifolius,Cheirolophus crassifolius
278,chequy,chequy,chequy
279,cherifianAnthem,Cherifian Anthem,Cherifian volkslied
280,chesapeakeBayDeadrise,Chesapeake Bay deadrise,Chesapeake Bay deadrise
281,chesapectenJeffersonius,Chesapecten jeffersonius,Chesapecten jeffersonius
282,chevrotain,chevrotain,chevrotain
283,chiangKaiShekMemorialSong,Chiang Kai-shek Memorial Song,Chiang Kai-shek Herdenkingslied
284,chileanRodeo,Chilean rodeo,Chileense rodeo
285,chiliPepper,Chili pepper,Chili peper
286,chimere,chimere,hersenschim
287,chinaHeroicallyStandsInTheUniverse,China Heroically Stands in the Universe,China staat heldhaftig in het heelal
288,chineseDragon,Chinese dragon,Chinese draak
289,chineseEvergreen,Chinese evergreen,Chinees groenblijvend
290,chinkara,Chinkara,Chinkara
291,chinookSalmon,Chinook salmon,Chinook zalm
292,chiron,Chiron,Cheiron
293,chive,chive,bieslook
294,chlorastrolite,Chlorastrolite,chloorastroliet
295,chopsticks,chopsticks,eetstokjes
296,chrysanthemumThrone,Chrysanthemum Throne,Chrysantentroon
297,cider,cider,cider
298,cinnamon,cinnamon,kaneel
299,circleOfStars,Circle of stars,Cirkel van sterren
300,clarion,clarion,klaroen
301,clayColoredThrush,Clay-colored thrush,Kleikleurige lijster
302,clayTablet,Clay tablet,Kleitablet
303,cleobisAndBito,Cleobis and Bito,Cleobis en Bito
304,clericalcollar,clerical collar,administratieve kraag
305,clever,clever,slim
306,cliff,cliff,klip
307,cloak,cloak,cape
308,cloak,Cloak,Mantel
309,ascensionDay,Ascension Day,Hemelvaartsdag
310,ashes,ashes,as
311,ashHeaps,ash heaps,as hopen
312,ashLeavesInWine,ash leaves in wine,asbladeren in wijn
313,ashTree,ash tree,es
314,100000,"100,000",100.000
315,106,106,106
316,109,109,109
317,113,113,113
318,114,114,114
319,115,115,115
320,117,117,117
321,118,118,118
322,119,119,119
323,123,123,123
324,126,126,126
325,1280000000,"1,280,000,000",1.280.000.000
326,16000000000,"16,000,000, 000","16.000.000, 000"
327,16798000,"16,798,000",16.798.000
328,1728000,"1,728,000",1.728.000
329,175,175,175
330,2000,"2,000",2.000
331,25,25,25
332,259200000000,"259,200,000,000",259.200.000.000
333,26,26,26
334,306720000,"306,720,000",306.720.000
335,32,32,32
336,320000000,"320,000,000",320.000.000
337,4320000000,"4,320,000,000",4.320.000.000
338,515,515,515
339,540,540,540
340,61,61,61
341,62,62,62
342,63,63,63
343,67,67,67
344,68,68,68
345,700,700,700
346,70000,"70,000",70.000
347,74,74,74
348,76,76,76
349,89,89,89
350,95,95,95
351,96,96,96
352,99999,"99,999","99,999"
353,aABird,a’a bird,een vogel
354,abatina,abatina,abatina
355,abdera,Abdera,Abdera
356,abecedary,abecedary,abecedaris
357,abiesBalsamea,Abies balsamea,Abies balsamico
358,abkhazianApsar,Abkhazian apsar,Abchazische apsar
359,abkhazianPassport,Abkhazian passport,Abchazisch paspoort
360,absintheLiquorPlant,"absinthe (liquor, plant)","absint (drank, plant)"
361,acaciaPycnantha,Acacia pycnantha,Acacia pycnantha
362,acalia,acalia,acalia
363,acerRubrum,Acer rubrum,Rode esdoorn
364,ache,ache,pijn
365,aCrown,a Crown,een kroon
366,adultTigerBeetle,Adult Tiger Beetle,Volwassen tijgerkever
367,advanceAustraliaFair,Advance Australia Fair,Advance Australia Fair
368,aegukga,Aegukga,Aegukga
369,aegukka,Aegukka,Aegukka
370,aesculusGlabra,Aesculus glabra,Aesculus glabra
371,afghanNationalAnthem,Afghan National Anthem,Afghaans volkslied
372,africanLion,African Lion,Afrikaanse leeuw
373,agathaOfSicily,Agatha of Sicily,Agatha van Sicilië
374,agnusdei,Agnus Dei,lam Gods
375,ahsanManzil,Ahsan Manzil,Ahsan Manzil
376,aiaaira,Aiaaira,Aiaaira
377,ailanthus,ailanthus,ailanthus
378,airi,Airi,Airi
379,aJMeerwald,A. J. Meerwald,AJ Meerwald
380,akhalTeke,Akhal-Teke,Akhal-Teke
381,aKnife,a knife,een mes
382,alabamaJuliaTutwilerSong,Alabama (Julia Tutwiler song),Alabama (lied van Julia Tutwiler)
383,alabamaRedBelliedCooter,Alabama red-bellied cooter,Alabama roodbuikcooter
384,alabamaStateBible,Alabama State Bible,Staatsbijbel van Alabama
385,alabamaStateCreed,Alabama state creed,Staatsbelijdenis van Alabama
386,alabamaTheatre,Alabama Theatre,Alabama Theater
387,aladdin,Aladdin,Aladdin
388,aladdinSLamp,Aladdin’s Lamp,De lamp van Aladdin
389,alaskanMalamute,Alaskan Malamute,Alaskan Malamute
390,alaskaSFlag,Alaska's Flag,Vlag van Alaska
391,aLaurelWithStars,A Laurel with Stars,Een laurier met sterren
392,albertaLegislatureBuilding,Alberta Legislature Building,Wetgevende gebouw van Alberta
393,albertaSong,Alberta (song),Alberta (lied)
394,alcestis,Alcestis,Alkestis
395,alcyoneStar,Alcyone (star),Alcyone (ster)
396,aleksisKivi,Aleksis Kivi,Aleksis Kivi
397,aleuritesMoluccanus,Aleurites moluccanus,Aleurieten moluccanus
398,algae,algae,algen
399,alinganoMaisu,Alingano Maisu,Alingano Maisu
400,alisVolatPropriis,Alis volat propriis,Alis volat propriis
401,allahPeliharakanSultan,Allah Peliharakan Sultan,Allah Peliharakan Sultan
402,allahuAkbarAnthem,Allahu Akbar (anthem),Allahu Akbar (volkslied)
403,allegoricalRepresentationsOfArgentina,Allegorical representations of Argentina,Allegorische voorstellingen van Argentinië
404,allegoryOfHispania,Allegory of Hispania,Allegorie van Hispania
405,allHailLiberiaHail,"All Hail, Liberia, Hail!","Allemaal gegroet, Liberia, gegroet!"
406,allosaurus,Allosaurus,Allosaurus
407,allSeeingEye,All-Seeing Eye,Alziend oog
408,almightyKnight,Almighty Knight,Almachtige Ridder
409,armsOfSkanderbeg,Arms of Skanderbeg,Wapens van Skanderbeg
410,arnis,Arnis,Arnis
411,arnoldBenedict,"Arnold, Benedict","Arnold, Benedictus"
412,arpaPairiKeDhar,Arpa Pairi Ke Dhar,Arpa Pairi Ke Dhar
413,arraneAshoonaghVannin,Arrane Ashoonagh Vannin,Arrane Ashoonagh Vannin
414,artemisiaWifeOfMausolus,Artemisia (wife of Mausolus),Artemisia (vrouw van Mausolus)
415,artery,artery,slagader
416,artist,artist,kunstenaar
417,arubaDushiTera,Aruba Dushi Tera,Aruba Dushi Tera
418,asado,Asado,Asado
419,ascalaphusSonOfAcheron,Ascalaphus (son of Acheron),Ascalaphus (zoon van Acheron)
420,ascending,ascending,oplopend
421,asclepias,Asclepias,Asclepias
422,ase,ase,ase
423,ashokaChakra,Ashoka Chakra,Ashoka Chakra
424,asianArowana,Asian arowana,Aziatische arowana
425,asianElephant,Asian elephant,Aziatische olifant
426,asianKoel,Asian koel,Aziatische koel
427,asiaticLion,Asiatic lion,Aziatische leeuw
428,asíEsNuevoMXico,Así Es Nuevo México,Así Es Nuevo Mexico
429,aspalathus,aspalathus,aspalathus
430,asrafilArchangel,"Asrafil, Archangel","Asrafil, Aartsengel"
431,asSalamAlAmiri,As-Salam al-Amiri,As-Salam al-Amiri
432,asSalamAlMalaki,As-Salam al-Malaki,As-Salam al-Malaki
433,asSalamAsSultani,As-Salam as-Sultani,As-Salam as-Sultani
434,astrodon,Astrodon,Astrodon
435,asWellAsLettuce,as well as lettuce,evenals sla
436,aSword,a sword,een zwaard
437,atef,Atef,Atef
438,atefCrown,Atef crown,Atef kroon
439,athanor,athanor,athanor
440,atlanticHorseshoeCrab,Atlantic horseshoe crab,Atlantische degenkrab
441,atlanticPuffin,Atlantic puffin,Atlantische papegaaiduiker
442,atlanticTarpon,Atlantic tarpon,Atlantische tarpon
443,atlas,Atlas,Atlas
444,aton,Aton,Bij op
445,audemusJuraNostraDefendere,Audemus jura nostra defendere,Audemus jura nostra defendere
446,auferstandenAusRuinen,Auferstanden aus Ruinen,Auferstanden aus Ruinen
447,australianDefenceForceEnsign,Australian Defence Force Ensign,Australische Defence Force Ensign
448,australianFlagDebate,Australian flag debate,Australische vlag debat
449,australianHonourFlag,Australian Honour Flag,Australische erevlag
450,australianRedEnsign,Australian Red Ensign,Australische Rode Vlag
451,australianWhiteEnsign,Australian White Ensign,Australische Witte Vlag
452,awardsOfTheMinistryForEmergencySituationsOfRussia,Awards of the Ministry for Emergency Situations of Russia,Onderscheidingen van het Ministerie voor Noodsituaties van Rusland
453,awardsOfTheNationalGuardOfTheRussianFederation,Awards of the National Guard of the Russian Federation,Onderscheidingen van de Nationale Garde van de Russische Federatie
454,awl,awl,priem
455,awlRoot,awl root,priem wortel
456,appleFruit,apple (fruit),appel (vrucht)
457,armor,armor,wapenrusting
459,arrow,arrow,pijl
460,arrow,Arrow,Pijl
461,arrowhead,arrowhead,pijlpunt
462,arrowHeldByMaidenWithAMillstone,arrow held by maiden with a millstone,pijl vastgehouden door meisje met een molensteen
463,arrowInWomanWithGrievingHunter,arrow in woman with grieving hunter,pijl in vrouw met rouwende jager
464,arrowPiercingAHeart,arrow piercing a heart,pijl die een hart doorboort
465,arrowPiercingAStagProtectedByAMan,arrow piercing a stag protected by a man,pijl die een hert doorboort beschermd door een man
466,arrowPiercingTheHand,arrow piercing the hand,pijl die de hand doorboort
467,arrowsHeldByARudelyDressedWoman,arrows held by a rudely dressed woman,pijlen vastgehouden door een grof geklede vrouw
468,arrowsPiercingANudeMan,arrows piercing a nude man,pijlen die een naakte man doorboren
469,arrowWithCross,arrow with cross,pijl met kruis
470,arson,arson,brandstichting
471,artemisDiana,Artemis/Diana,Artemis/Diana
472,arthurKing,"Arthur, King","Arthur, Koning"
473,articlesofconfederation,Articles of Confederation,Artikelen van de Confederatie
474,arum,arum,aronskelk
475,asABrand,as a brand,als een merk
476,asABrandOnTheThumb,as a brand on the thumb,als merk op de duim
477,asACarpetMotif,as a carpet motif,als tapijtmotief
478,asAChaliceCover,as a chalice cover,als een kelkdeksel
479,asADayBird,as a day bird,als een dagvogel
480,asAGift,as a gift,als cadeau
481,asAKillerOfReptiles,as a killer of reptiles,als een moordenaar van reptielen
482,asAMigratoryBird,as a migratory bird,als trekvogel
483,asANightBird,as a night bird,als een nachtvogel
484,asbestos,asbestos,asbest
485,bell,bell,klok
486,beltOfThor,belt of Thor,gordel van Thor
487,benedictineMonkWithArmorAndCrownLyingBesideHim,Benedictine monk with armor and crown lying beside him,Benedictijner monnik met harnas en kroon die naast hem liggen
488,benedictineMonkWithBrokenFetters,Benedictine monk with broken fetters,Benedictijner monnik met gebroken boeien
489,benedictineMonkWithRedChasubleOverHisHabit,Benedictine monk with red chasuble over his habit,Benedictijner monnik met rood kazuifel over zijn habijt
490,bengalTiger,Bengal tiger,Bengaalse tijger
491,bentPole,bent pole,gebogen paal
492,bighornSheep,Bighorn sheep,Dikhoornschapen
493,billingAndOrCooingDoves,billing and/or cooing doves,facturatie en/of koeren duiven
494,billows,billows,golven
495,billyGoat,billy goat,bok
496,billyGoatWithAHumanHead,billy goat with a human head,bok met een mensenhoofd
497,bird,bird,vogel
498,birdAccompanyingAHero,bird accompanying a hero,vogel die een held vergezelt
499,birdCage,bird cage,vogelkooi
500,birdDemon,bird demon,vogel demon
501,birdOfPreyFlyingFromLeftToRightBeforeABattle,bird of prey flying from left to right before a battle,roofvogel die van links naar rechts vliegt voor een gevecht
502,birdPerchingInTheRigging,bird perching in the rigging,vogel zit in de tuigage
503,birdsDrinkingFromAVase,birds drinking from a vase,vogels drinken uit een vaas
504,birdSEgg,bird’s egg,vogel ei
505,birdsInACage,birds in a cage,vogels in een kooi
506,birdsInAVine,birds in a vine,vogels in een wijnstok
507,birdsLinkedTogetherWithAGoldenChain,birds linked together with a golden chain,vogels aan elkaar verbonden met een gouden ketting
508,birdsOfPrey,birds of prey,roofvogels
509,birdsWithFood,birds with food,vogels met voedsel
